"id","movie_Id","air_date","nbr_episodes","name","poster_path","vote_average"
1203,63252,"2019-09-16",8,"Saison 8","null",0
1204,63252,"2020-09-16",2,"Saison 9","/pEL0FgCXQXRSsx94qw0brGTjZd4.jpg",0
1205,63252,"2021-09-10",36,"Saison 10","/2vHxPRVJxsQfcyrDbORZF13uiE7.jpg",0
1206,63252,"2022-09-12",13,"Saison 11","/lwnQn72X1i1Wwxm2tdCKXmBj91g.jpg",0
1207,63252,"2023-07-26",75,"Saison 12","/jkI7hSYjgPwmq5OrVmtj8yu3DYG.jpg",0
1208,1911,"null",47,"Épisodes spéciaux","/aTaoBXcWOXPKIJN2RWIslqFA9jF.jpg",0
1209,1911,"2005-09-13",22,"Saison 1","/xgMEKBfkcEX4VozA5oOmrVjWmlr.jpg",7.8
1210,1911,"2006-08-30",21,"Saison 2","/8xAsjsj2nBCBrqJBIxSexWdW2ok.jpg",7.7
1211,1911,"2007-09-25",15,"Saison 3","/djqliSoQECQI1cji43a6EVnGPD0.jpg",7.7
1212,1911,"2008-09-03",26,"Saison 4","/93RtxfcguVPAfw7pPOdOrlDpE0r.jpg",7.7
1213,1911,"2009-09-17",22,"Saison 5","/xH8nfKzzmixTBQ2TobGf73AWtJL.jpg",7.5
1214,1911,"2010-09-23",23,"Saison 6","/yxpF5I1kCdtsZFTRJMP9gsMuXav.jpg",7.7
1215,1911,"2011-11-03",13,"Saison 7","/bH0w41Km3CBm6FdJ7caRdipzUXq.jpg",7.7
1216,1911,"2012-09-17",24,"Saison 8","/fckO1I96eXON3lAXFXNNL3DeDEJ.jpg",7.7
1217,1911,"2013-09-16",24,"Saison 9","/njFdqxAuuGpxu7hFjYCZzwwp5qT.jpg",7.5
